Sample	Protists_1k	Human	Fungi_RefSeq_release	Bird	Bacteria_24k	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Lle-CNas_025.clmp.fp2_r1_screen	32736.0	3992.0	2711.0	1647.0	651.0	456.0	309.0	194.0	12.0	2.0	170243.0	2166403.0
Lle-CNas_025.clmp.fp2_r2_screen	33324.0	3838.0	2758.0	1548.0	614.0	432.0	286.0	208.0	4.0	0.0	171131.0	2165213.0
Lle-CNas_026.clmp.fp2_r1_screen	11998.0	1317.0	932.0	530.0	240.0	145.0	74.0	89.0	6.0	0.0	70762.0	778294.0
Lle-CNas_026.clmp.fp2_r2_screen	12251.0	1266.0	1000.0	536.0	226.0	164.0	114.0	80.0	3.0	0.0	71059.0	777688.0
Lle-CNas_027.clmp.fp2_r1_screen	25189.0	3044.0	2251.0	1375.0	656.0	411.0	238.0	199.0	4.0	0.0	139184.0	1738307.0
Lle-CNas_027.clmp.fp2_r2_screen	25867.0	3042.0	2184.0	1340.0	636.0	338.0	237.0	166.0	7.0	0.0	139307.0	1737734.0
Lle-CNas_028.clmp.fp2_r1_screen	33046.0	4126.0	2762.0	1589.0	797.0	496.0	278.0	253.0	8.0	0.0	167638.0	2110158.0
Lle-CNas_028.clmp.fp2_r2_screen	33585.0	4280.0	2852.0	1575.0	801.0	523.0	274.0	259.0	8.0	0.0	168229.0	2108765.0
Lle-CNas_029.clmp.fp2_r1_screen	19711.0	2358.0	1685.0	1061.0	684.0	263.0	172.0	117.0	8.0	0.0	102322.0	1291753.0
Lle-CNas_029.clmp.fp2_r2_screen	20255.0	2376.0	1742.0	1044.0	663.0	264.0	165.0	135.0	5.0	0.0	102868.0	1290617.0
Lle-CNas_030.clmp.fp2_r1_screen	35414.0	3839.0	2944.0	1697.0	744.0	502.0	317.0	224.0	5.0	0.0	183443.0	2438258.0
Lle-CNas_030.clmp.fp2_r2_screen	36343.0	3999.0	3156.0	1675.0	743.0	531.0	324.0	221.0	9.0	0.0	184795.0	2435591.0
Lle-CNas_031.clmp.fp2_r1_screen	13945.0	1545.0	1202.0	688.0	581.0	202.0	116.0	98.0	1.0	0.0	75195.0	895564.0
Lle-CNas_031.clmp.fp2_r2_screen	14359.0	1497.0	1191.0	686.0	568.0	202.0	137.0	111.0	3.0	0.0	75116.0	895267.0
Lle-CNas_032.clmp.fp2_r1_screen	27506.0	2919.0	2258.0	1352.0	831.0	351.0	247.0	180.0	5.0	0.0	128436.0	1812841.0
Lle-CNas_032.clmp.fp2_r2_screen	27589.0	2938.0	2282.0	1346.0	816.0	364.0	273.0	196.0	6.0	0.0	129462.0	1811654.0
Lle-CNas_033.clmp.fp2_r1_screen	78687.0	8620.0	6620.0	4264.0	1595.0	1143.0	688.0	667.0	18.0	1.0	455349.0	5445053.0
Lle-CNas_033.clmp.fp2_r2_screen	81716.0	8636.0	6509.0	4066.0	1618.0	1125.0	627.0	673.0	27.0	0.0	460458.0	5437250.0
Lle-CNas_034.clmp.fp2_r1_screen	24731.0	2969.0	2166.0	1302.0	492.0	387.0	236.0	184.0	6.0	1.0	127721.0	1711231.0
Lle-CNas_034.clmp.fp2_r2_screen	25720.0	3097.0	2139.0	1255.0	524.0	363.0	218.0	147.0	3.0	0.0	129723.0	1708237.0
Lle-CNas_035.clmp.fp2_r1_screen	45360.0	5682.0	3805.0	2463.0	773.0	724.0	430.0	292.0	10.0	0.0	247419.0	3033169.0
Lle-CNas_035.clmp.fp2_r2_screen	46867.0	5622.0	3904.0	2314.0	803.0	689.0	398.0	343.0	8.0	0.0	248682.0	3030497.0
Lle-CNas_036.clmp.fp2_r1_screen	32040.0	3422.0	2674.0	1552.0	561.0	470.0	271.0	201.0	11.0	0.0	160663.0	2215675.0
Lle-CNas_036.clmp.fp2_r2_screen	32933.0	3460.0	2693.0	1544.0	578.0	389.0	267.0	181.0	6.0	0.0	162715.0	2212774.0
Lle-CNas_037.clmp.fp2_r1_screen	36079.0	3725.0	3064.0	1818.0	708.0	552.0	310.0	241.0	21.0	0.0	203273.0	2553689.0
Lle-CNas_037.clmp.fp2_r2_screen	37416.0	3879.0	3183.0	1737.0	727.0	521.0	315.0	278.0	11.0	0.0	206489.0	2548924.0
Lle-CNas_038.clmp.fp2_r1_screen	52212.0	6059.0	4387.0	2636.0	1147.0	713.0	468.0	389.0	39.0	0.0	305837.0	3484592.0
Lle-CNas_038.clmp.fp2_r2_screen	53712.0	6011.0	4506.0	2534.0	1115.0	721.0	483.0	397.0	17.0	0.0	308250.0	3480733.0
